"#F9A1D0","鴇色","とき色"
"#CB4B94","躑躅色","つつじ色"
"#FFDBED","桜色","桜色"
"#D34778","薔薇色","ばら色"
"#E3557F","唐紅","からくれない"
"#FF87A0","珊瑚色","さんご色"
"#E08899","紅梅色","紅梅（こうばい）色"
"#E38698","桃色","桃色"
"#BD1E48","紅色","紅色"
"#B92946","紅赤","紅赤"
"#AE3846","臙脂色","えんじ"
"#974B52","蘇芳色","蘇芳（すおう）"
"#A0283A","茜色","茜（あかね）色"
"#BF1E33","赤","赤"
"#ED514E","朱色","朱色"
"#A14641","紅樺色","紅樺（べにかば）色"
"#EE5145","紅緋 (存在しないページ)","紅緋（べにひ）"
"#D3503C","鉛丹色 (存在しないページ)","鉛丹（えんたん）色"
"#703B32","紅海老茶","紅海老茶"
"#7D483E","鳶色","とび色"
"#946259","小豆色","小豆（あずき）色"
"#8A4031","弁柄色 (存在しないページ)","弁柄（べんがら）色"
"#6D3D33","海老茶","海老茶"
"#ED542A","金赤","金赤"
"#B15237","赤茶 (存在しないページ)","赤茶"
"#923A21","赤錆色 (存在しないページ)","赤錆色"
"#EF6D3E","黄丹","黄丹（おうに）"
"#ED551B","赤橙色","赤橙"
"#E06030","柿色","柿色"
"#B97761","肉桂色 (存在しないページ)","肉桂（にっけい）色"
"#BD4A1D","樺色 (存在しないページ)","樺（かば）色"
"#974E33","煉瓦色 (存在しないページ)","れんが色"
"#664134","錆色 (存在しないページ)","錆色"
"#8A604F","檜皮色 (存在しないページ)","檜皮（ひわだ）色"
"#754C38","栗色","栗色"
"#E45E00","黄赤","黄赤"
"#BA6432","代赭","たいしゃ"
"#B67A52","駱駝色 (存在しないページ)","らくだ色"
"#BB6421","黄茶","黄茶"
"#F4BE9B","肌色","肌色"
"#FD7E00","橙色","橙色"
"#866955","灰茶 (存在しないページ)","灰茶"
"#734E30","茶色","茶色"
"#594639","焦茶","焦茶"
"#FFA75E","柑子色 (存在しないページ)","こうじ色"
"#DDA273","杏色","杏色"
"#FA8000","蜜柑色","蜜柑色"
"#763900","褐色","褐色"
